Name, Latitude, Longitude
Kabupaten Bogor, -6.5445738, 106.4844121
Kabupaten Sukabumi, -6.8492295, 106.8729016
Kabupaten Cianjur, -7.0515528, 106.4708709
Kabupaten Bandung, -7.0626751, 107.2614852
Kabupaten Garut, -7.3414811, 107.1185812
Kabupaten Tasikmalaya, -7.4258211, 107.5138864
Kabupaten Ciamis, -7.3105189, 108.1177301
Kabupaten Kuningan, -6.9870978, 108.2593337
Kabupaten Cirebon, -6.760507, 108.2556177
Kabupaten Majalengka, -6.8063938, 107.8953245
Kabupaten Sumedang, -6.809099, 107.6508147
Kabupaten Indramayu, -6.4417654, 107.8669897
Kabupaten Subang, -6.4973619, 107.3960426
Kabupaten Purwakarta, -6.5920294, 107.2451147
Kabupaten Karawang, -6.2640209, 107.0340434
Kabupaten Bekasi, -6.2669317, 106.7772559 
Kabupaten Bandung Barat, -6.904469, 107.1245476
Kota Bogor, -6.5950162, 106.7094886
Kota Sukabumi, -6.9369269, 106.8761097
Kota Bandung, -6.903272, 107.5607541
Kota Cirebon, -6.7426852, 108.4716355
Kota Bekasi, -6.2841724, 106.8085581 
Kota Depok, -6.3876714, 106.7353941
Kota Cimahi, -6.8862145, 107.5205219
Kota Tasikmalaya, -7.3598042, 108.1489356
Kota Banjar, -7.3723955, 108.4950041
